moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;460,31;36,11;30,00;29,22;1,55
String 1,2;464,53;36,60;30,77;28,88;1,49
String 1,3;450,02;40,03;29,69;29,13;1,51
String 1,4;461,23;34,11;30,04;29,53;1,59
String 1,5;460,43;38,62;30,07;29,35;1,62
String 1,6;465,86;32,78;30,11;29,55;1,61
String 1,7;463,40;38,07;30,08;29,73;1,61
String 1,8;472,55;41,51;30,31;29,85;1,60
String 1,9;463,58;30,93;30,06;29,48;1,56
String 1,10;461,82;35,04;30,14;29,71;1,60
String 1,11;492,81;37,80;31,51;29,38;1,61
String 1,12;482,03;36,61;30,71;29,66;1,67
String 2,1;481,94;36,93;30,65;29,27;1,66
String 2,2;484,26;33,10;30,75;27,75;1,59
String 2,3;476,43;43,82;30,50;27,85;1,56
String 2,4;487,86;45,34;30,89;28,89;1,68
Module 1,1_1;489,27;34,83;30,48;31,02;1,74
Module 1,1_2;494,38;33,25;30,44;31,69;1,75
Module 1,1_3;492,87;37,18;30,75;31,70;1,72
Module 1,1_4;491,84;44,15;30,72;32,16;1,72
Module 1,1_5;497,21;37,36;31,03;31,57;1,78
Module 1,1_6;489,59;33,08;30,70;31,63;1,71
Module 1,1_7;491,44;36,81;30,72;31,37;1,72
Module 1,1_8;491,05;45,43;30,72;32,11;1,72
Module 1,1_9;490,55;36,58;30,71;32,24;1,72
Module 1,1_10;490,22;36,60;30,68;31,86;1,71
Module 1,1_11;494,06;38,10;30,82;31,36;1,75
Module 1,1_12;483,42;36,74;30,49;30,99;1,67
Module 1,1_13;491,21;37,68;30,71;31,97;1,72
Module 1,1_14;490,77;36,15;30,72;32,09;1,72
Module 1,1_15;491,47;43,56;30,69;31,32;1,72
Module 1,1_16;484,44;36,28;30,24;31,41;1,70
Module 1,1_17;484,74;35,72;30,56;32,35;1,66
Module 1,1_18;493,75;37,14;30,79;31,78;1,73
Module 1,2_1;491,70;36,98;31,40;32,32;1,70
Module 1,2_2;492,84;38,63;31,44;32,17;1,70
Module 1,2_3;492,06;37,78;31,42;31,78;1,69
Module 1,2_4;493,38;35,86;31,45;31,71;1,70
Module 1,2_5;493,01;45,71;31,44;32,59;1,70
Module 1,2_6;492,79;37,01;31,43;32,04;1,70
Module 1,2_7;492,93;38,72;31,44;31,92;1,70
Module 1,2_8;493,98;35,94;31,50;30,93;1,71
Module 1,2_9;493,45;39,75;31,46;31,42;1,70
Module 1,2_10;493,90;38,16;31,47;31,83;1,70
Module 1,2_11;493,62;37,19;31,46;31,35;1,70
Module 1,2_12;493,94;35,11;31,47;30,92;1,70
Module 1,2_13;494,35;36,73;31,57;30,98;1,75
Module 1,2_14;493,92;36,22;31,47;30,97;1,70
Module 1,2_15;493,20;37,79;31,45;31,49;1,70
Module 1,2_16;492,35;38,05;31,42;32,15;1,70
Module 1,2_17;494,36;67,71;31,48;32,01;1,70
Module 1,2_18;492,66;45,25;31,46;31,61;1,70
Module 1,3_1;494,32;46,86;30,53;32,15;1,81
Module 1,3_2;567,17;41,02;31,91;31,95;2,28
Module 1,3_3;492,56;45,16;30,05;32,00;1,83
Module 1,3_4;485,29;39,06;30,26;31,75;1,77
Module 1,3_5;481,37;35,69;30,45;31,48;1,73
Module 1,3_6;485,87;35,11;30,27;31,96;1,75
Module 1,3_7;558,17;34,57;29,32;31,78;2,20
Module 1,3_8;582,53;40,21;31,83;31,87;2,33
Module 1,3_9;641,71;42,53;32,20;31,66;2,78
Module 1,3_10;482,06;43,76;30,45;32,07;1,74
Module 1,3_11;514,62;36,55;29,98;31,74;1,95
Module 1,3_12;552,94;37,51;31,08;32,21;2,19
Module 1,3_13;482,30;36,16;30,47;31,63;1,74
Module 1,3_14;492,38;34,44;30,44;31,70;1,78
Module 1,3_15;491,14;34,86;30,52;31,68;1,78
Module 1,3_16;606,42;40,33;32,01;32,43;2,54
Module 1,3_17;484,78;43,58;30,53;31,76;1,76
Module 1,3_18;526,91;38,36;31,18;31,78;2,02
Module 1_4_1;499,73;71,37;31,03;31,28;1,82
Module 1_4_2;493,88;35,86;30,81;31,87;1,77
Module 1_4_3;497,26;35,60;30,91;30,22;1,79
Module 1_4_4;492,90;37,69;30,77;32,06;1,76
Module 1_4_5;494,80;45,57;30,84;31,62;1,77
Module 1_4_6;493,63;35,07;30,80;31,12;1,77
Module 1_4_7;494,36;37,32;30,83;31,63;1,77
Module 1_4_8;492,99;47,05;30,77;32,11;1,76
Module 1_4_9;494,50;35,77;30,83;31,46;1,77
Module 1_4_10;492,95;36,42;30,78;31,71;1,76
Module 1_4_11;493,31;38,09;30,78;31,57;1,76
Module 1_4_12;492,75;39,59;30,77;31,52;1,77
Module 1_4_13;492,89;34,86;30,77;30,87;1,76
Module 1_4_14;492,07;34,36;30,76;32,19;1,76
Module 1_4_16;494,47;34,55;30,79;31,94;1,76
Module 1_4_17;493,16;36,84;30,78;31,33;1,76
Module 1_4_18;493,64;39,00;30,78;31,68;1,76
Module 1,5_1;486,50;47,04;30,67;31,84;1,78
Module 1,5_2;485,53;35,13;30,65;31,42;1,79
Module 1,5_3;487,24;37,08;30,70;31,44;1,78
Module 1,5_4;488,28;36,86;30,71;31,74;1,78
Module 1,5_5;487,50;36,20;30,70;31,08;1,78
Module 1,5_6;488,17;36,37;30,73;31,82;1,79
Module 1,5_7;487,56;34,77;30,70;30,69;1,78
Module 1,5_8;541,31;17,68;32,61;31,15;2,07
Module 1,5_9;486,66;35,18;30,68;31,75;1,78
Module 1,5_10;487,67;35,42;30,70;31,04;1,78
Module 1,5_11;486,70;38,42;30,68;31,78;1,78
Module 1,5_12;490,24;35,83;30,81;30,45;1,81
Module 1,5_13;487,28;35,53;30,69;30,98;1,78
Module 1,5_14;488,20;45,34;30,73;30,60;1,79
Module 1,5_15;487,08;35,36;30,69;31,55;1,78
Module 1,5_16;485,38;36,88;30,68;32,01;1,78
Module 1,5_17;486,78;38,37;30,72;31,61;1,78
Module 1,5_18;486,80;35,49;30,72;31,45;1,79
Module 1,6_1;547,08;44,99;31,09;30,80;2,09
Module 1,6_2;495,61;35,43;30,77;31,43;1,81
Module 1,6_3;513,77;35,95;30,64;30,86;1,91
Module 1,6_4;530,94;39,86;30,90;31,47;2,04
Module 1,6_5;489,17;44,28;30,62;31,99;1,78
Module 1,6_6;492,27;37,35;30,63;32,00;1,79
Module 1,6_7;530,31;38,46;31,16;31,62;2,01
Module 1,6_8;532,19;38,90;30,88;31,65;2,05
Module 1,6_9;494,68;36,87;30,90;31,80;1,84
Module 1,6_10;520,00;47,25;31,36;31,37;1,93
Module 1,6_11;505,27;35,30;30,80;31,46;1,86
Module 1,6_12;492,99;36,67;30,69;31,96;1,80
Module 1,6_13;503,52;68,32;30,40;31,86;1,88
Module 1,6_14;553,40;37,19;31,62;30,85;2,15
Module 1,6_15;522,98;37,88;31,19;31,77;1,95
Module 1,6_16;551,13;36,58;31,60;30,58;2,16
Module 1,6_17;517,03;34,39;30,69;31,52;1,93
Module 1,6_18;596,84;38,29;31,99;29,77;2,43
Module 1,7_1;487,41;36,82;30,53;30,80;1,76
Module 1,7_2;486,19;36,41;30,55;30,76;1,75
Module 1,7_3;486,46;36,44;30,57;31,31;1,75
Module 1,7_4;485,58;38,30;30,55;31,74;1,74
Module 1,7_5;485,68;45,87;30,55;31,87;1,74
Module 1,7_6;485,99;37,72;30,55;31,55;1,75
Module 1,7_7;486,16;36,97;30,55;31,53;1,74
Module 1,7_8;487,06;38,04;30,59;31,81;1,76
Module 1,7_9;485,94;44,49;30,55;31,87;1,74
Module 1,7_10;485,82;44,21;30,55;31,17;1,75
Module 1,7_11;485,95;36,56;30,56;31,38;1,75
Module 1,7_12;485,47;38,42;30,54;31,13;1,75
Module 1,7_13;486,35;37,44;30,56;31,54;1,75
Module 1,7_14;485,84;37,90;30,55;31,64;1,74
Module 1,7_15;485,92;38,03;30,55;32,08;1,75
Module 1,7_16;486,12;36,34;30,55;31,85;1,75
Module 1,7_17;486,63;37,89;30,57;31,36;1,75
Module 1,7_18;486,01;45,14;30,55;31,56;1,75
Module 1,8_1;485,67;37,09;30,57;31,63;1,73
Module 1,8_2;485,87;41,44;30,57;32,04;1,73
Module 1,8_3;485,84;36,97;30,57;31,39;1,73
Module 1,8_4;486,14;36,28;30,55;31,21;1,74
Module 1,8_5;485,73;38,16;30,57;31,61;1,73
Module 1,8_6;485,23;35,56;30,55;31,28;1,73
Module 1,8_7;485,58;37,17;30,57;31,53;1,73
Module 1,8_8;485,95;37,89;30,57;31,15;1,73
Module 1,8_9;486,43;37,80;30,65;31,70;1,74
Module 1,8_10;485,75;38,25;30,57;32,40;1,73
Module 1,8_11;485,53;37,37;30,56;31,27;1,73
Module 1,8_12;485,89;37,06;30,58;31,47;1,73
Module 1,8_13;211,93;22,50;23,68;30,35;0,18
Module 1,8_14;485,79;39,19;30,57;31,93;1,73
Module 1,8_15;485,42;40,06;30,56;31,91;1,73
Module 1,8_16;485,47;44,42;30,56;31,30;1,73
Module 1,8_17;485,63;35,82;30,57;31,70;1,73
Module 1,8_18;488,80;39,72;30,81;30,80;1,78
Module 1,9_1;485,42;45,70;30,56;30,85;1,73
Module 1,9_2;486,26;36,91;30,57;31,64;1,70
Module 1,9_3;485,74;36,13;30,56;31,64;1,70
Module 1,9_4;486,02;36,73;30,56;32,01;1,70
Module 1,9_5;485,58;36,54;30,56;31,49;1,70
Module 1,9_6;486,24;45,89;30,57;31,32;1,70
Module 1,9_7;485,29;36,14;30,53;31,28;1,70
Module 1,9_8;486,28;37,76;30,57;31,91;1,70
Module 1,9_9;486,11;44,95;30,57;31,56;1,70
Module 1,9_10;486,18;36,38;30,57;30,73;1,70
Module 1,9_11;485,74;38,52;30,56;31,44;1,70
Module 1,9_12;486,25;35,10;30,58;30,61;1,70
Module 1,9_13;486,32;34,48;30,58;31,06;1,70
Module 1,9_14;485,64;44,13;30,55;31,45;1,70
Module 1,9_15;485,37;36,12;30,54;32,12;1,69
Module 1,9_16;486,38;35,83;30,58;31,88;1,70
Module 1,9_17;485,91;36,01;30,56;31,93;1,70
Module 1,9_18;486,09;45,17;30,57;32,18;1,70
Module 1,10_1;481,20;33,14;30,55;31,06;1,73
Module 1,10_2;481,05;39,55;30,55;31,74;1,73
Module 1,10_3;481,03;35,68;30,54;31,59;1,73
Module 1,10_4;481,13;32,66;30,54;31,09;1,73
Module 1,10_5;481,16;36,16;30,55;31,98;1,73
Module 1,10_6;481,12;36,28;30,54;31,40;1,73
Module 1,10_7;481,07;34,58;30,54;31,61;1,73
Module 1,10_8;481,50;36,35;30,55;30,10;1,74
Module 1,10_9;481,04;35,78;30,54;31,48;1,73
Module 1,10_10;481,26;44,36;30,55;31,72;1,73
Module 1,10_11;481,44;36,44;30,56;31,88;1,73
Module 1,10_12;481,22;47,14;30,55;31,70;1,73
Module 1,10_13;481,08;34,69;30,54;31,42;1,73
Module 1,10_14;481,13;34,33;30,55;31,67;1,73
Module 1,10_15;480,84;33,87;30,54;31,58;1,73
Module 1,10_16;481,28;45,28;30,55;31,34;1,73
Module 1,10_17;481,11;37,45;30,55;32,06;1,73
Module 1,10_18;481,31;35,17;30,55;30,88;1,73
Module 1,11_1;508,96;48,31;31,89;31,17;1,74
Module 1,11_2;509,95;36,68;31,89;31,37;1,74
Module 1,11_3;509,85;34,71;31,89;31,12;1,75
Module 1,11_4;508,55;35,50;31,88;31,42;1,74
Module 1,11_5;508,83;36,93;31,84;30,98;1,75
Module 1,11_6;510,19;44,37;31,90;31,63;1,74
Module 1,11_7;509,20;35,37;31,90;31,34;1,74
Module 1,11_8;507,90;35,03;31,87;30,88;1,75
Module 1,11_9;510,78;36,11;31,92;31,22;1,75
Module 1,11_10;508,70;39,46;31,88;31,01;1,75
Module 1,11_11;510,87;38,33;31,85;31,43;1,76
Module 1,11_12;508,71;37,52;31,88;30,88;1,74
Module 1,11_13;510,35;36,62;31,90;30,97;1,74
Module 1,11_14;509,14;36,41;31,82;30,50;1,76
Module 1,11_15;508,86;33,12;31,89;31,24;1,74
Module 1,11_16;509,16;43,62;31,90;31,70;1,74
Module 1,11_17;509,05;36,54;31,90;31,59;1,74
Module 1,11_18;508,11;36,67;31,82;30,54;1,75
Module 1,12_1;507,39;36,63;31,08;31,34;1,82
Module 1,12_2;504,78;37,36;31,19;29,92;1,79
Module 1,12_3;504,74;35,89;31,19;31,26;1,79
Module 1,12_4;504,94;37,59;31,21;30,29;1,80
Module 1,12_5;505,23;38,50;31,12;31,09;1,80
Module 1,12_6;507,12;38,48;31,13;31,20;1,81
Module 1,12_7;505,63;36,19;31,19;32,02;1,79
Module 1,12_8;504,91;36,26;31,20;31,50;1,79
Module 1,12_9;504,43;38,46;31,19;31,26;1,80
Module 1,12_10;505,68;35,93;31,20;31,47;1,79
Module 1,12_11;507,02;37,03;31,09;31,72;1,82
Module 1,12_12;503,92;36,31;31,16;31,67;1,79
Module 1,12_13;504,01;70,58;31,17;31,50;1,79
Module 1,12_14;505,59;35,39;31,19;31,47;1,79
Module 1,12_15;505,38;36,79;31,22;30,76;1,79
Module 1,12_16;504,70;36,35;31,19;31,63;1,79
Module 1,12_17;504,52;38,13;31,18;31,69;1,79
Module 1,12_18;505,75;45,37;31,19;30,74;1,79
Module 2,1_1;504,70;36,24;31,27;29,62;1,84
Module 2,1_2;509,21;47,00;31,61;30,23;1,82
Module 2,1_3;512,08;39,12;31,63;31,97;1,78
Module 2,1_4;511,12;41,58;31,63;31,92;1,79
Module 2,1_5;504,27;34,56;31,18;31,27;1,79
Module 2,1_6;510,91;45,10;31,63;31,81;1,79
Module 2,1_7;511,81;37,12;31,63;31,13;1,79
Module 2,1_8;511,91;35,34;31,63;31,77;1,78
Module 2,1_9;510,82;36,61;31,63;31,50;1,79
Module 2,1_10;511,02;37,02;31,63;30,74;1,79
Module 2,1_11;518,95;40,04;31,00;32,94;1,78
Module 2,1_12;510,77;42,73;31,62;32,10;1,79
Module 2,1_13;511,69;38,38;31,50;31,71;1,79
Module 2,1_14;510,84;42,18;31,62;32,42;1,79
Module 2,1_15;509,58;37,24;31,57;30,57;1,80
Module 2,1_16;511,93;35,05;31,63;31,01;1,78
Module 2,1_17;501,68;36,71;31,07;31,27;1,79
Module 2,1_18;510,86;37,58;31,63;31,64;1,79
Module 2,2_1;517,67;40,08;31,62;32,64;1,78
Module 2,2_2;576,39;39,35;34,58;32,86;1,80
Module 2,2_3;408,78;36,24;28,10;33,35;1,29
Module 2,2_4;592,60;43,95;33,23;33,48;2,11
Module 2,2_5;539,20;43,93;32,15;33,12;1,92
Module 2,2_6;494,43;35,43;30,78;32,28;1,64
Module 2,2_7;511,89;38,54;31,22;32,15;1,90
Module 2,2_8;507,46;36,90;31,29;32,09;1,72
Module 2,2_9;469,47;32,93;29,78;32,91;1,53
Module 2,2_10;420,75;36,58;22,74;34,00;1,89
Module 2,2_11;637,73;39,79;37,29;32,94;1,87
Module 2,2_12;556,08;38,89;32,73;32,23;1,98
Module 2,2_13;560,08;39,75;32,58;31,73;2,03
Module 2,2_14;553,40;43,20;32,27;33,79;1,97
Module 2,2_14 (2);522,95;36,44;31,23;33,71;1,81
Module 2,2_15;526,60;39,96;28,60;31,84;2,26
Module 2,2_16;529,30;38,10;31,69;32,50;1,84
Module 2,2_17;487,53;36,73;29,89;32,87;1,69
Module 2,2_18;509,53;42,63;31,56;33,41;1,71
Module 2,3_1;501,82;38,07;31,13;31,27;1,68
Module 2,3_2;502,53;37,37;31,14;32,02;1,68
Module 2,3_3;519,19;38,07;31,15;31,88;1,78
Module 2,3_4;501,64;37,72;31,14;31,88;1,68
Module 2,3_5;507,02;37,27;31,17;31,03;1,66
Module 2,3_6;502,86;38,60;31,14;32,11;1,68
Module 2,3_7;518,73;38,57;31,13;31,51;1,78
Module 2,3_8;502,14;37,37;31,15;31,57;1,68
Module 2,3_9;501,35;38,19;31,13;30,88;1,68
Module 2,3_10;503,21;33,88;31,16;24,50;1,69
Module 2,3_10 QClip;501,88;32,68;31,14;24,60;1,68
Module 2,3_11;501,77;43,77;31,14;30,74;1,68
Module 2,3_12;518,61;38,97;31,06;32,16;1,77
Module 2,3_13;516,25;38,96;31,11;31,59;1,73
Module 2,3_14;501,78;36,63;31,14;31,07;1,68
Module 2,3_15;518,80;37,69;31,08;31,52;1,76
Module 2,3_16;501,35;36,37;31,13;31,88;1,68
Module 2,3_17;522,16;38,30;31,23;31,83;1,78
Module 2,3_18;505,59;40,31;31,05;31,46;1,65
Module 2,4_1;503,94;38,15;31,18;31,14;1,81
Module 2,4_2;503,55;40,68;31,17;31,52;1,81
Module 2,4_3;504,12;38,35;31,22;30,63;1,82
Module 2,4_4;504,05;38,40;31,18;30,38;1,83
Module 2,4_5;503,87;37,27;31,19;31,24;1,81
Module 2,4_6;503,98;37,47;31,19;30,74;1,81
Module 2,4_7;505,20;37,19;31,26;30,29;1,85
Module 2,4_8;504,11;35,07;31,19;31,66;1,81
Module 2,4_9;504,20;37,04;31,20;30,53;1,81
Module 2,4_10;503,86;36,87;31,19;31,28;1,81
Module 2,4_11;503,87;67,48;31,19;31,58;1,81
Module 2,4_12;504,70;37,60;31,18;31,10;1,81
Module 2,4_13;503,95;38,00;31,20;31,61;1,81
Module 2,4_14;503,65;36,11;31,14;30,60;1,81
Module 2,4_15;504,80;40,87;31,19;32,53;1,80
Module 2,4_16;504,49;45,24;31,20;31,22;1,81
Module 2,4_17;503,84;37,92;31,18;31,42;1,81
Module 2,4_18;503,40;37,73;31,17;31,47;1,81
